K,mu_eff_from_lambda,mu0_real,mu0_imag,mu1_real,mu1_imag
4.56,-7.879195764281375,-5.239725175860972,0.6049733695531446,-5.239725175860972,-0.6049733695531446
4.57,-7.8936059837556565,-5.251215883637927,0.6063003286217361,-5.251215883637927,-0.6063003286217361
4.58,-7.908013103911225,-5.262706591235449,0.6076272871194488,-5.262706591235449,-0.6076272871194488
4.59,-7.922417134869384,-5.274197298654712,0.6089542450500008,-5.274197298654712,-0.6089542450500008
4.6,-7.936818086695594,-5.285688005896877,0.6102812024170791,-5.285688005896877,-0.6102812024170791
4.61,-7.951215969401136,-5.297178712963096,0.6116081592243406,-5.297178712963096,-0.6116081592243406
4.62,-7.965610792943354,-5.308669419854509,0.6129351154754049,-5.308669419854509,-0.6129351154754049
4.63,-7.98000256722524,-5.320160126572247,0.6142620711738658,-5.320160126572247,-0.6142620711738658
4.64,-7.9943913020971795,-5.331650833117433,0.6155890263232844,-5.331650833117433,-0.6155890263232844
4.65,-8.00877700735607,-5.34314153949118,0.6169159809271924,-5.34314153949118,-0.6169159809271924
4.66,-8.02315969274574,-5.354632245694588,0.6182429349890884,-5.354632245694588,-0.6182429349890884
4.67,-8.037539367958944,-5.366122951728752,0.6195698885124434,-5.366122951728752,-0.6195698885124434
4.68,-8.051916042636574,-5.377613657594757,0.6208968415006991,-5.377613657594757,-0.6208968415006991
4.6899999999999995,-8.066289726367069,-5.389104363293675,0.6222237939572676,-5.389104363293675,-0.6222237939572676
4.7,-8.080660428689267,-5.400595068826574,0.6235507458855295,-5.400595068826574,-0.6235507458855295
4.71,-8.095028159090354,-5.412085774194509,0.6248776972888419,-5.412085774194509,-0.6248776972888419
4.72,-8.109392927007384,-5.4235764793985295,0.626204648170528,-5.4235764793985295,-0.626204648170528
4.73,-8.123754741827803,-5.435067184439668,0.6275315985338872,-5.435067184439668,-0.6275315985338872
4.74,-8.138113612889917,-5.446557889318962,0.6288585483821879,-5.446557889318962,-0.6288585483821879
4.75,-8.15246954948212,-5.45804859403743,0.6301854977186747,-5.45804859403743,-0.6301854977186747
4.76,-8.166822560844599,-5.4695392985960805,0.6315124465465608,-5.4695392985960805,-0.6315124465465608
4.77,-8.181172656168554,-5.481030002995924,0.6328393948690373,-5.481030002995924,-0.6328393948690373
4.78,-8.195519844597653,-5.492520707237955,0.6341663426892642,-5.492520707237955,-0.6341663426892642
4.79,-8.20986413522786,-5.504011411323158,0.6354932900103779,-5.504011411323158,-0.6354932900103779
4.8,-8.224205537107542,-5.515502115252513,0.636820236835488,-5.515502115252513,-0.636820236835488
4.8100000000000005,-8.238544059237405,-5.526992819026994,0.6381471831676774,-5.526992819026994,-0.6381471831676774
4.82,-8.252879710573046,-5.538483522647559,0.6394741290100059,-5.538483522647559,-0.6394741290100059
4.83,-8.267212500022291,-5.549974226115169,0.6408010743655048,-5.549974226115169,-0.6408010743655048
4.84,-8.281542436447518,-5.561464929430767,0.6421280192371831,-5.561464929430767,-0.6421280192371831
4.85,-8.295869528665499,-5.572955632595292,0.6434549636280242,-5.572955632595292,-0.6434549636280242
4.86,-8.310193785447149,-5.584446335609679,0.6447819075409866,-5.584446335609679,-0.6447819075409866
4.87,-8.324515215519089,-5.595937038474852,0.6461088509790056,-5.595937038474852,-0.6461088509790056
4.88,-8.33883382756344,-5.607427741191725,0.6474357939449911,-5.607427741191725,-0.6474357939449911
4.890000000000001,-8.353149630216693,-5.618918443761208,0.6487627364418295,-5.618918443761208,-0.6487627364418295
4.9,-8.367462632072375,-5.630409146184202,0.650089678472385,-5.630409146184202,-0.650089678472385
4.91,-8.381772841679823,-5.641899848461603,0.6514166200394981,-5.641899848461603,-0.6514166200394981
4.92,-8.396080267545146,-5.6533905505942945,0.6527435611459848,-5.6533905505942945,-0.6527435611459848
4.93,-8.410384918130486,-5.664881252583157,0.6540705017946399,-5.664881252583157,-0.6540705017946399
4.9399999999999995,-8.424686801856684,-5.676371954429067,0.6553974419882362,-5.676371954429067,-0.6553974419882362
4.95,-8.43898592710106,-5.687862656132888,0.656724381729521,-5.687862656132888,-0.656724381729521
4.96,-8.453282302198726,-5.699353357695479,0.6580513210212244,-5.699353357695479,-0.6580513210212244
4.97,-8.46757593544356,-5.710844059117688,0.6593782598660493,-5.710844059117688,-0.6593782598660493
4.98,-8.481866835086715,-5.722334760400366,0.6607051982666804,-5.722334760400366,-0.6607051982666804
4.99,-8.496155009338578,-5.733825461544346,0.6620321362257803,-5.733825461544346,-0.6620321362257803
5.0,-8.510440466369438,-5.745316162550461,0.6633590737459902,-5.745316162550461,-0.6633590737459902
