K,rho_num,angle_num,F_triangle,r(theta*),type,rho_closed,angle_closed,J_frobenius
1.8032019704433497,0.9805610638812862,0.10009271950260801,-2.0943951023931957,0.9999922668700034,complex,1.0877966795756786,0.0,2.4059726622104374
1.8033661740558293,0.9805610638812863,0.09967901175282394,-2.0943951023931957,0.9999922682753992,real+,1.08780161205006,0.0,2.405973493936485
1.8035303776683087,0.9805610638812867,0.09968374900275905,-2.0943951023931957,0.9999922696804121,real+,1.0878065443305138,0.0,2.405974325807966
1.8036945812807883,0.9805610638812868,0.09968848602832024,-2.0943951023931957,0.9999922710850419,real+,1.087811476417064,0.0,2.4059751578248814
1.8038587848932677,0.9805610638812872,0.09969322282954013,-2.0943951023931957,0.9999922724892889,real+,1.0878164083097357,0.0,2.4059759899872297
1.8040229885057473,0.9805610638812867,0.09969795940645004,-2.0943951023931957,0.9999922738931534,real+,1.0878213400085552,0.0,2.405976822295012
1.8041871921182266,0.9805610638812859,0.0997026957590831,-2.0943951023931957,0.9999922752966353,real+,1.0878262715135487,0.0,2.4059776547482272
1.804351395730706,0.9805610638812869,0.09970743188747046,-2.0943951023931957,0.9999922766997347,real+,1.0878312028247412,0.0,2.405978487346876
1.8045155993431856,0.9805610638812868,0.09971216779164287,-2.0943951023931957,0.999992278102452,real+,1.087836133942157,0.0,2.4059793200909576
1.804679802955665,0.9805610638812858,0.10013517281841398,-2.0943951023931957,0.9999922795047871,complex,1.0878410648658225,0.0,2.405980152980472
1.8048440065681446,0.9805610638812859,0.10013988874606768,-2.0943951023931957,0.9999922809067401,complex,1.0878459955957627,0.0,2.405980986015419
1.805008210180624,0.9805610638812862,0.0997263741592006,-2.0943951023931957,0.9999922823083114,real+,1.087850926132004,0.0,2.4059818191957985
1.8051724137931036,0.9805610638812864,0.09973110916683836,-2.0943951023931957,0.999992283709501,real+,1.0878558564745713,0.0,2.405982652521611
