K,rho1,ang1,rho2,ang2
27.668691923,1.484436232,0.781582514,1.436714195,0.812986538
27.739814153,1.485457185,0.782194998,1.437703922,0.813637772
27.810936383,1.486477366,0.782805844,1.438692968,0.814287264
27.882058613,1.487496779,0.783415058,1.439681334,0.814935021
27.953180843,1.488515424,0.784022649,1.440669023,0.815581052
28.024303074,1.489533304,0.784628623,1.441656035,0.816225364
28.095425304,1.490550419,0.785232989,1.442642372,0.816867967
28.166547534,1.491566773,0.785835754,1.443628034,0.817508866
28.237669764,1.492582367,0.786436925,1.444613025,0.818148071
28.308791994,1.493597202,0.787036510,1.445597344,0.818785589
28.379914224,1.494611281,0.787634515,1.446580993,0.819421428
28.451036455,1.495624605,0.788230949,1.447563974,0.820055595
28.522158685,1.496637176,0.788825818,1.448546288,0.820688098
28.593280915,1.497648995,0.789419130,1.449527936,0.821318944
28.664403145,1.498660066,0.790010891,1.450508920,0.821948142
28.735525375,1.499670388,0.790601109,1.451489240,0.822575698
28.806647605,1.500679965,0.791189791,1.452468900,0.823201620
28.877769836,1.501688797,0.791776943,1.453447898,0.823825915
28.948892066,1.502696887,0.792362573,1.454426238,0.824448591
29.020014296,1.503704237,0.792946687,1.455403921,0.825069655
29.091136526,1.504710847,0.793529293,1.456380946,0.825689114
29.162258756,1.505716720,0.794110397,1.457357317,0.826306975
29.233380986,1.506721857,0.794690005,1.458333034,0.826923245
29.304503217,1.507726261,0.795268126,1.459308099,0.827537932
29.375625447,1.508729932,0.795844764,1.460282513,0.828151043
29.446747677,1.509732873,0.796419927,1.461256277,0.828762583
29.517869907,1.510735085,0.796993622,1.462229392,0.829372562
29.588992137,1.511736570,0.797565854,1.463201861,0.829980984
29.660114367,1.512737329,0.798136631,1.464173683,0.830587858
29.731236598,1.513737365,0.798705959,1.465144861,0.831193189
29.802358828,1.514736678,0.799273844,1.466115396,0.831796986
29.873481058,1.515735271,0.799840293,1.467085288,0.832399253
29.944603288,1.516733145,0.800405311,1.468054540,0.832999999
30.015725518,1.517730301,0.800968906,1.469023152,0.833599230
30.086847748,1.518726742,0.801531083,1.469991126,0.834196952
30.157969979,1.519722469,0.802091849,1.470958463,0.834793172
30.229092209,1.520717484,0.802651210,1.471925164,0.835387896
30.300214439,1.521711788,0.803209171,1.472891231,0.835981131
30.371336669,1.522705382,0.803765740,1.473856664,0.836572884
30.442458899,1.523698270,0.804320921,1.474821466,0.837163160
30.513581129,1.524690451,0.804874722,1.475785637,0.837751966
30.584703360,1.525681927,0.805427147,1.476749178,0.838339309
30.655825590,1.526672701,0.805978204,1.477712091,0.838925194
30.726947820,1.527662773,0.806527897,1.478674377,0.839509628
30.798070050,1.528652146,0.807076233,1.479636037,0.840092618
30.869192280,1.529640821,0.807623218,1.480597073,0.840674168
30.940314510,1.530628799,0.808168857,1.481557485,0.841254286
31.011436741,1.531616082,0.808713156,1.482517275,0.841832977
31.082558971,1.532602671,0.809256121,1.483476444,0.842410248
31.153681201,1.533588569,0.809797757,1.484434993,0.842986104
31.224803431,1.534573775,0.810338070,1.485392924,0.843560552
31.295925661,1.535558293,0.810877066,1.486350237,0.844133597
31.367047891,1.536542124,0.811414750,1.487306934,0.844705245
31.438170122,1.537525269,0.811951128,1.488263016,0.845275502
31.509292352,1.538507729,0.812486205,1.489218484,0.845844374
31.580414582,1.539489506,0.813019987,1.490173340,0.846411867
31.651536812,1.540470602,0.813552479,1.491127584,0.846977987
31.722659042,1.541451018,0.814083687,1.492081218,0.847542739
31.793781272,1.542430755,0.814613616,1.493034243,0.848106128
31.864903503,1.543409816,0.815142271,1.493986660,0.848668162
31.936025733,1.544388201,0.815669658,1.494938470,0.849228844
32.007147963,1.545365911,0.816195781,1.495889675,0.849788181
32.078270193,1.546342950,0.816720647,1.496840275,0.850346179
32.149392423,1.547319317,0.817244260,1.497790271,0.850902842
32.220514653,1.548295014,0.817766626,1.498739666,0.851458177
32.291636883,1.549270043,0.818287749,1.499688459,0.852012188
32.362759114,1.550244406,0.818807635,1.500636653,0.852564881
32.433881344,1.551218102,0.819326289,1.501584248,0.853116263
32.505003574,1.552191135,0.819843716,1.502531245,0.853666337
32.576125804,1.553163506,0.820359921,1.503477646,0.854215109
32.647248034,1.554135215,0.820874909,1.504423451,0.854762585
32.718370264,1.555106265,0.821388685,1.505368663,0.855308769
32.789492495,1.556076656,0.821901253,1.506313281,0.855853668
32.860614725,1.557046390,0.822412620,1.507257307,0.856397286
32.931736955,1.558015469,0.822922789,1.508200742,0.856939628
33.002859185,1.558983893,0.823431766,1.509143587,0.857480700
33.073981415,1.559951665,0.823939554,1.510085844,0.858020506
33.145103645,1.560918785,0.824446161,1.511027513,0.858559053
33.216225876,1.561885256,0.824951588,1.511968596,0.859096344
33.287348106,1.562851078,0.825455843,1.512909093,0.859632385
33.358470336,1.563816252,0.825958929,1.513849006,0.860167180
33.429592566,1.564780781,0.826460851,1.514788336,0.860700736
33.500714796,1.565744665,0.826961613,1.515727084,0.861233056
33.571837026,1.566707905,0.827461221,1.516665250,0.861764145
33.642959257,1.567670504,0.827959679,1.517602837,0.862294009
33.714081487,1.568632462,0.828456992,1.518539845,0.862822653
33.785203717,1.569593782,0.828953163,1.519476274,0.863350081
33.856325947,1.570554463,0.829448198,1.520412128,0.863876297
33.927448177,1.571514507,0.829942101,1.521347405,0.864401308
33.998570407,1.572473917,0.830434876,1.522282108,0.864925117
34.069692638,1.573432692,0.830926529,1.523216237,0.865447729
34.140814868,1.574390835,0.831417063,1.524149794,0.865969148
34.211937098,1.575348347,0.831906482,1.525082779,0.866489381
34.283059328,1.576305228,0.832394792,1.526015194,0.867008430
34.354181558,1.577261481,0.832881997,1.526947040,0.867526302
34.425303788,1.578217107,0.833368100,1.527878317,0.868043000
34.496426019,1.579172106,0.833853106,1.528809027,0.868558528
34.567548249,1.580126480,0.834337020,1.529739171,0.869072892
34.638670479,1.581080231,0.834819845,1.530668749,0.869586096
34.709792709,1.582033359,0.835301587,1.531597763,0.870098145
34.780914939,1.582985867,0.835782248,1.532526214,0.870609042
34.852037169,1.583937754,0.836261834,1.533454103,0.871118793
34.923159400,1.584889024,0.836740348,1.534381431,0.871627401
34.994281630,1.585839675,0.837217794,1.535308199,0.872134872
35.065403860,1.586789711,0.837694178,1.536234407,0.872641209
35.136526090,1.587739132,0.838169502,1.537160058,0.873146417
35.207648320,1.588687940,0.838643770,1.538085151,0.873650500
35.278770550,1.589636135,0.839116988,1.539009689,0.874153462
35.349892781,1.590583719,0.839589159,1.539933671,0.874655308
35.421015011,1.591530693,0.840060286,1.540857099,0.875156042
35.492137241,1.592477059,0.840530374,1.541779974,0.875655669
35.563259471,1.593422817,0.840999427,1.542702298,0.876154191
35.634381701,1.594367969,0.841467449,1.543624070,0.876651614
35.705503931,1.595312516,0.841934443,1.544545291,0.877147942
35.776626162,1.596256460,0.842400414,1.545465964,0.877643178
35.847748392,1.597199800,0.842865365,1.546386089,0.878137327
35.918870622,1.598142540,0.843329301,1.547305666,0.878630394
35.989992852,1.599084679,0.843792224,1.548224698,0.879122381
36.061115082,1.600026219,0.844254140,1.549143184,0.879613293
36.132237312,1.600967162,0.844715051,1.550061125,0.880103135
36.203359543,1.601907507,0.845174961,1.550978524,0.880591909
36.274481773,1.602847258,0.845633875,1.551895380,0.881079621
36.345604003,1.603786414,0.846091795,1.552811695,0.881566273
36.416726233,1.604724977,0.846548726,1.553727469,0.882051871
36.487848463,1.605662948,0.847004671,1.554642704,0.882536417
36.558970693,1.606600328,0.847459634,1.555557401,0.883019916
36.630092924,1.607537119,0.847913619,1.556471560,0.883502372
36.701215154,1.608473321,0.848366629,1.557385182,0.883983788
36.772337384,1.609408936,0.848818667,1.558298269,0.884464168
36.843459614,1.610343965,0.849269738,1.559210821,0.884943517
36.914581844,1.611278409,0.849719845,1.560122839,0.885421837
36.985704074,1.612212269,0.850168991,1.561034325,0.885899133
37.056826305,1.613145546,0.850617181,1.561945278,0.886375409
37.127948535,1.614078241,0.851064417,1.562855701,0.886850667
37.199070765,1.615010356,0.851510703,1.563765593,0.887324912
37.270192995,1.615941892,0.851956042,1.564674957,0.887798148
37.341315225,1.616872849,0.852400438,1.565583792,0.888270378
37.412437455,1.617803230,0.852843895,1.566492100,0.888741606
37.483559685,1.618733034,0.853286415,1.567399881,0.889211835
37.554681916,1.619662263,0.853728003,1.568307137,0.889681069
37.625804146,1.620590919,0.854168661,1.569213869,0.890149312
37.696926376,1.621519002,0.854608393,1.570120077,0.890616568
37.768048606,1.622446513,0.855047203,1.571025762,0.891082839
37.839170836,1.623373453,0.855485092,1.571930925,0.891548129
37.910293066,1.624299825,0.855922066,1.572835568,0.892012442
37.981415297,1.625225628,0.856358127,1.573739690,0.892475782
38.052537527,1.626150863,0.856793279,1.574643293,0.892938151
38.123659757,1.627075533,0.857227524,1.575546378,0.893399554
38.194781987,1.627999637,0.857660867,1.576448946,0.893859993
38.265904217,1.628923177,0.858093309,1.577350997,0.894319473
38.337026447,1.629846155,0.858524855,1.578252533,0.894777996
38.408148678,1.630768570,0.858955508,1.579153554,0.895235567
38.479270908,1.631690425,0.859385270,1.580054061,0.895692187
38.550393138,1.632611719,0.859814146,1.580954055,0.896147862
38.621515368,1.633532456,0.860242137,1.581853538,0.896602593
38.692637598,1.634452634,0.860669248,1.582752509,0.897056385
38.763759828,1.635372256,0.861095481,1.583650969,0.897509241
38.834882059,1.636291322,0.861520840,1.584548921,0.897961163
38.906004289,1.637209834,0.861945327,1.585446364,0.898412156
38.977126519,1.638127792,0.862368945,1.586343299,0.898862223
39.048248749,1.639045197,0.862791699,1.587239727,0.899311366
39.119370979,1.639962052,0.863213590,1.588135649,0.899759589
39.190493209,1.640878355,0.863634621,1.589031066,0.900206896
39.261615440,1.641794110,0.864054797,1.589925979,0.900653289
39.332737670,1.642709316,0.864474119,1.590820388,0.901098771
39.403859900,1.643623974,0.864892591,1.591714295,0.901543346
39.474982130,1.644538087,0.865310215,1.592607700,0.901987018
39.546104360,1.645451654,0.865726995,1.593500604,0.902429788
39.617226590,1.646364676,0.866142934,1.594393008,0.902871660
39.688348821,1.647277156,0.866558034,1.595284913,0.903312638
39.759471051,1.648189093,0.866972298,1.596176319,0.903752724
39.830593281,1.649100488,0.867385730,1.597067228,0.904191922
39.901715511,1.650011344,0.867798331,1.597957640,0.904630234
39.972837741,1.650921660,0.868210106,1.598847557,0.905067663
40.043959971,1.651831438,0.868621056,1.599736978,0.905504213
40.115082202,1.652740678,0.869031185,1.600625905,0.905939887
40.186204432,1.653649382,0.869440496,1.601514339,0.906374687
40.257326662,1.654557550,0.869848991,1.602402280,0.906808617
